key,en_EN,zh_CN
event_100_name,Photographer 11,摄影师-11
event_101_name,Photographer 12,摄影师-12
event_102_name,Florist 1,花艺师-1
event_103_name,Florist 2,花艺师-2
event_104_name,Florist 3,花艺师-3
event_105_name,Florist 4,花艺师-4
event_106_name,Florist 5,花艺师-5
event_107_name,Florist 6,花艺师-6
event_108_name,Florist 7,花艺师-7
event_109_name,Florist 8,花艺师-8
event_110_name,Florist 9,花艺师-9
event_111_name,Florist 10,花艺师-10
event_112_name,Florist 11,花艺师-11
event_113_name,Florist 12,花艺师-12
event_114_name,Paw Licking 1,舔爪子-1
event_115_name,Paw Licking 2,舔爪子-2
event_116_name,Paw Licking 3,舔爪子-3
event_117_name,Paw Tucking 1,揣手手-1
event_118_name,Paw Tucking 2,揣手手-2
event_119_name,Paw Tucking 3,揣手手-3
event_120_name,Fluffy Cloud 1,胖乎乎的云-1
event_121_name,Fluffy Cloud 2,胖乎乎的云-2
event_122_name,Fluffy Cloud 3,胖乎乎的云-3
event_123_name,Cat Ears 1,猫的耳朵-1
event_124_name,Cat Ears 2,猫的耳朵-2
event_125_name,Cat Ears 3,猫的耳朵-3
event_126_name,Squirrel's Gift 1,松鼠的见面礼-1
event_127_name,Squirrel's Gift 2,松鼠的见面礼-2
event_128_name,Squirrel's Gift 3,松鼠的见面礼-3
event_129_name,Cotton Socks 1,棉袜子-1
event_130_name,Cotton Socks 2,棉袜子-2
event_131_name,Cotton Socks 3,棉袜子-3
event_132_name,Keyboard Tapping 1,敲键盘-1
event_133_name,Keyboard Tapping 2,敲键盘-2
event_134_name,Keyboard Tapping 3,敲键盘-3
event_0_desc,"Visit friends. True winners know how to turn small efforts into huge ""golden"" rewards.",拜访好友，真正的赢家都知道四两拨千“金”的技巧！
event_1_desc,Rob the rich to aid the poor. Use your excellent scratch card skills to unlock the treasure vault!,劫富济贫，利用高超的刮刮乐技巧打开宝库！
event_2_desc,"You obtained a Shield, which can block one incoming attack.",你获得一个护盾，可以阻挡一次攻击。
event_3_desc,Everyone bought blind boxes while shopping. Yours turned out to be a rare limited edition.,逛街时大家都买了盲盒，你的竟然是限量款。
event_4_desc,"You bet a friend on who has more daily steps. Right before bed, you tie your phone to your dog and successfully top the WeChat Step leaderboard.",和朋友打赌比拼步数，你在睡觉前把手机绑在狗身上，成功占领微信运动封面。
event_5_desc,You browse a secondhand platform and buy your dream game console for an extremely low price.,逛二手平台，以极低的价格买到了心仪游戏机。
event_6_desc,"You do a single gacha pull, golden light flashes across the screen, and you get the limited-time SSR. Your friend is green with envy.",随手单抽，屏幕闪过金光，出了当期限定SSR，朋友嫉妒得面目全非。
event_7_desc,"You pick up a random book at a used bookstore, only to find it's an out-of-print copy signed by the author.",逛旧书店随手拿起一本书，竟然是作者亲笔签名的绝版珍藏。
event_8_desc,"You clean out old items during a house cleanup and find a rare, extremely valuable ancient coin.",大扫除时整理旧物，发现一枚稀有古币，价值连城。
event_9_desc,"You bet a friend on claw machine wins. You insert two coins, and grab the hardest-to-get limited oversized plush on your first try.",和朋友打赌抓娃娃，随手投了两枚游戏币，一把就抓出了店里最难出的限定款超大公仔。
event_10_desc,"You give a random gift to an in-game NPC, accidentally unlock a hidden storyline, and get the only server-exclusive equipment.",随手给游戏里的 NPC 送了个礼物，意外解锁了隐藏剧情，拿到了全服唯一的装备。
event_11_desc,"You're missing vintage props for your new video, so you try your luck at the scrap yard. For just 5 yuan, you get a fully functional 1990s film camera in perfect working order.",你拍选题缺老物件素材，去废品站碰运气，只花五块钱就淘到了一台功能完好的90年代胶片机。
event_12_desc,"You're shooting a vlog in the community garden, when a ginger cat walks right up to the camera and photobombs your shot. All the bullet comments say how adorable it is.",你在小区花园拍vlog，一只橘猫主动凑到镜头前，成功抢镜，弹幕都说它可爱。
event_13_desc,"You go for a morning jog along the river, and find a stone eroded by the current into a perfect heart shape. You take it home and use it as a decoration for your flower pot.",清晨在河边慢跑，意外捡到一块被流水冲刷成心形的石子，放进花盆做装饰。
event_14_desc,You go to take photos at the old tea garden in town during late autumn. The tea farmer insists on giving you a pack of exclusive surplus sun-dried pre-Qingming tea (the highest grade of spring tea).,深秋去镇上的老茶园拍照，茶农非要送你一包被阳光晒透的明前茶独家余货。
event_15_desc,"Most of the mint you planted on the balcony has wilted. When you change the soil, you find strawberry seeds you dropped earlier have sprouted three tiny leaves. In summer, they bear milky white small strawberries that are three times sweeter than the ones sold in supermarkets.",阳台种的薄荷枯了大半，换土时翻出之前掉进去的草莓籽，已经冒了三片小嫩叶，夏天结了奶白的小草莓，甜度比超市买的高三倍。
event_16_desc,"When closing the windows during a typhoon, you find a small parakeet knocked unconscious by the wind. You nurse it back to health in a week, but it refuses to leave. It becomes your account's exclusive mascot, perching on your notebook to appear in every one of your videos.",台风天关窗时捡到一只被吹晕的小鹦鹉，养了一周伤好不肯走，成了账号的专属吉祥物，每条视频都要站在你笔记本上出镜。
event_17_desc,"You rummage through the top of your old wardrobe and find floral fabric left by your grandmother. You were going to use it as a rag, but you cut it into a pillow cover that fits your balcony rattan chair perfectly. All your fans beg for the purchase link after seeing it in your videos.",旧衣柜顶层翻出外婆当年留的碎花布，本来想当抹布，裁成抱枕套刚好适配你阳台的藤椅，粉丝看了都求链接。
event_18_desc,"The repairman fixing your balcony leak also welds your wobbly flower shelf steady for free. He says he saw your small town breakfast guide on your account, took his kid to eat there last week, and his child loved it.",修阳台漏水的工人顺手帮你把松动的花架焊稳了，不收钱，说看你账号发的小城早餐攻略，他上周跟着去吃了他家孩子特别喜欢。
event_19_desc,"You take a detour through the old alley after work, and find a 30-year-old tailor shop closing down. The owner gives you a whole box of remaining vintage pearl buttons for free. You use them to make handmade hair clip merch that sells out in seconds.",下班绕路走老巷，撞见一家开了三十年的裁缝店要关门，老板把剩下的一整盒vintage珍珠纽扣全送你，你用来做手工发夹周边秒空。
event_20_desc,"You go to the market to buy tomatoes. The vendor sees you shooting content, and gives you a basket of freshly picked daisies for free to use as props. You put them in a glass jar when you get home, which perfectly matches your new ""Early Summer Dining Table"" theme.",去菜市场买番茄，卖菜阿叔看你拍素材，免费塞了一筐刚摘的小雏菊，说给你当拍摄道具，回家插在玻璃罐里刚好配你新更的「初夏餐桌」主题。
event_21_desc,"You climb the back hill after rain to shoot mushrooms, and find a rare variety of wild tea tree. You pick half a kilo of fresh leaves and roast them, the aroma is even richer than the pre-Qingming tea you buy at the store.",雨后爬后山拍菌子，发现一颗品种稀有的野茶树，摘了半斤鲜叶炒了，香味比买的明前茶还浓。
event_22_desc,"You take a casual photo of the sunset from your balcony and post it on WeChat Moments. The local culture and tourism bureau notices it, hires you to shoot the town's tourism promotional video, and pays you enough to cover a full year of rent.",随手拍了阳台的晚霞发朋友圈，被本地文旅局看中，找你拍小城文旅宣传片，给的报酬够你付一年房租。
event_23_desc,"The small town handmade merch you made catches the eye of a chain cultural and creative store. You sign a consignment contract, and your monthly passive income is even higher than what you earn from sponsored ads.",你做的小城手作周边被一个连锁文创店看中，签了代销合同，每个月被动收入比你接广告还多。
event_24_desc,"You attend a local creator exchange event, and win first prize: the latest mirrorless camera. Your old camera broke exactly a week ago, so it's perfect timing.",参加本地自媒体交流会，抽中了一等奖，是最新款的微单相机，刚好你之前的旧相机坏了一周。
event_25_desc,"You go to the suburbs to dig wild vegetables in spring, and find a large patch of wild houttuynia cordata (a popular Chinese edible herb) next to a field of wild tulips. The video you shoot makes the local trending list, and lots of people come to visit the spot.",春天去郊外挖野菜，挖到一大丛野生折耳根，旁边长了一片野郁金香，拍的视频上了本地热搜，好多人过来打卡。
event_26_desc,"You attend a friend's wedding and catch the bridal bouquet. On the way home, a florist offers to preserve it as dried flowers for free. You hang it on your balcony wall, and it becomes your favorite decoration.",去参加朋友的婚礼，抢到了捧花，回家路上碰到一个花店老板，免费给你把捧花做成了干花，挂在你阳台的墙上，成了最好的装饰。
event_27_desc,"You go fishing by the river, don't catch any fish, but reel up an old brass bell. After you polish it, it has a really beautiful, clear ring.",去江边钓鱼，没钓到鱼，钓上来一个旧的铜铃铛，擦干净之后声音特别好听。
event_28_desc,"You go to the mountains to shoot the starry sky, and happen to catch a meteor shower. You make a wish that your account hits 1 million followers. When you wake up the next day, your follower count has exactly reached 1 million.",你去山里拍星空，刚好碰到流星雨，许的愿望是账号粉丝破百万，结果第二天醒来一看，粉丝刚好破了一百万。
event_29_desc,"A handmade gift you sent to a fan was given by the fan to her hospitalized grandmother. The grandmother felt much better after watching your videos, and after she recovered, she sent you a whole basket of tangerines grown in her own yard.",你之前给粉丝寄的手作礼物，被一个粉丝送给了她住院的奶奶，奶奶看完你的视频心情好很多，病好之后专门给你寄了一筐自己家种的橘子。
event_30_desc,"You join a local handmade market, and all the hair clips you made are sold out. You also catch the eye of a local intangible cultural heritage inheritor, who takes you as an apprentice to teach you traditional silk wrap flower craft. Your tutorial video for the craft sells over 100,000 copies.",你参加本地的手工市集，你做的手作发夹全部卖光，还被本地的非遗传承人看中，收你当徒弟，教你做传统缠花，你出的缠花教程视频卖了十几万份。
event_31_desc,"The old pagoda tree downstairs blooms, so you pick some flowers to make pagoda flower tea. You shoot a video of the process, and many fans ask to buy it. You team up with your neighbors to make the tea, and use the proceeds to install fitness equipment in your community.",你家楼下的老槐树开花了，你摘了一点做槐花茶，拍了视频，好多粉丝要买，你就联合小区的邻居一起做槐花茶，卖的钱用来给小区装了健身器材。
event_32_desc,"There's a power outage in summer, so you're cooling off on the balcony. Your neighbor uncle brings you an iced watermelon, saying the iced watermelon recipe you shared in your video was delicious. You chat while eating, and find out he works with drones. Later, he shoots a lot of aerial footage of the town for you for free.",夏天停电，你在阳台乘凉，隔壁的阿叔给你送了一个冰西瓜，说看你视频里教的冰西瓜的做法特别好吃，你们边吃西瓜边聊天，阿叔是做无人机的，后来免费帮你拍了好多小城的航拍素材。
event_33_desc,"A stray cat you rescued earlier later becomes the ""cat king"" of the community. It brings different small gifts to your doorstep every day. You take photos of the gifts and post them online, and all your fans envy you for having a cat bodyguard.",你之前救助的一只流浪猫，后来成了小区的猫王，每天都会带不同的小礼物放在你家门口，你把这些礼物拍下来发动态，粉丝都羡慕你有个猫保镖。
event_34_desc,"You attend the local food festival, and the dessert you make wins first prize. You use the bonus to install an automatic watering system for your balcony plants.",你去参加本地的美食节，你做的甜品得了一等奖，你用奖金给阳台装了个自动浇水系统。
event_35_desc,"Your video of the town's winter snow is noticed by a film director, who hires you as the location scout consultant for his film set in the town. The pay is enough for you to buy the latest video editing computer.",你拍的小城雪景视频被一个电影导演看中，找你当电影的小城取景顾问，给的报酬够你换一个最新的剪辑电脑。
event_36_desc,"You find an injured baby hedgehog on the road, nurse it back to health and release it. It comes back to visit you often, bringing a small nut every time. Your ""Hedgehog Visitor"" video is reposted by the Animal Protection Association, who also invite you to be their charity publicity ambassador.",你在路上捡到一只受伤的小刺猬，养好了伤放生，结果它经常回来看你，每次都带个小坚果，你拍的「刺猬访客」视频，被动物保护协会转发，还请你当他们的公益宣传大使。
event_37_desc,"On the first snowy day of winter, you're shooting snow scenes from your balcony, and capture a small squirrel standing on your balcony railing munching on a pinecone. That video gets over 1 million views.",冬天第一场雪，你在阳台拍雪景，刚好拍到一只小松鼠站在你家阳台栏杆上啃松果，那条视频播放量破了百万。
event_38_desc,"A handwritten letter from a fan has a pack of lavender seeds inside. You sow them in your balcony pots, and they bloom into a patch of purple flowers in summer. The sachet merch you make with the flowers sells 3000 copies on the first day of launch.",粉丝寄来的手写信里夹了一包薰衣草种子，你撒在阳台花盆里，夏天开出一片紫花，你用花做的香包周边上线当天卖了3000份。
event_39_desc,"You go to the bookstore to buy books, and catch a publisher clearing out inventory. For only 20 yuan, you get the out-of-print *Local Flora Monograph of the Small Town*. You use the hand-drawn illustrations inside as cover materials for your videos.",去书店买书，刚好碰到出版社清库存，你花20块钱淘到了绝版的《小城植物志》，里面的手绘插图你用来当视频封面素材。
event_40_desc,"You join a local volunteer activity to teach handicrafts to left-behind children. The star-folding method you teach is recorded by the kids and posted as a short video, which goes viral unexpectedly. The charity organization invites you to be their publicity ambassador.",去参加本地的志愿者活动，给留守儿童上手工课，你教的折星星方法被孩子们录下来发了短视频，意外火了之后，公益组织请你当他们的宣传大使。
event_41_desc,"Your balcony clothesline breaks, and the new one hasn't arrived yet. Your elderly neighbor brings you a straw rope she wove herself. You shoot a video titled ""The Warmth of Traditional Crafts"", which helps the grandmother's straw woven products gain a national market.",你家阳台的晾衣绳断了，新买的还没到，邻居阿婆给你送了一根她编的草绳，你拍了一期「老手艺的温度」视频，帮阿婆的草编产品打开了全国销路。
event_42_desc,"You buy the wrong flower seeds, and after sowing them, a patch of rapeseed flowers grows. You set up a small scene on your balcony to shoot spring photos, and many fans from other cities come specially to you to take photos in the same style.",买错了花种，撒下去长出了一片油菜花，你在阳台搭了个小景拍春日写真，好多外地的粉丝专门过来找你拍同款。
event_43_desc,"You go to the river to shoot the sunset, and run into a couple taking wedding photos. The newlyweds ask you to take a few behind-the-scenes shots for them. The photos turn out really well, and they give you a red envelope as a thank you.",去江边拍日落，刚好碰到有人拍婚纱照，新人请你帮他们拍几张花絮，照片效果非常好收到红包答谢。
event_44_desc,"Your keyboard breaks while you're editing a video, so you rush to the computer mall to buy a new one. The shop owner is your fan, gives you 50% off, and also gives you a set of custom keycaps printed with your account's logo.",你剪视频的时候键盘坏了，临时去电脑城买，老板是你的粉丝，给你打了五折，还送了你一套定制的键帽，上面印着你账号的logo。
event_45_desc,"You go to a class reunion, and find out your old deskmate is a big data analyst. She makes a set of fan analysis tools for you for free. After you adjust your content using the tools, your fan engagement triples.",你去参加同学聚会，发现以前的同桌是大数据分析师，她免费给你做了一套粉丝分析工具，你用工具调整内容后，粉丝粘性翻了三倍。
event_46_desc,An old food coupon (a historical currency used in China for rationing) is tucked inside the secondhand book you bought. It turns out to be a limited-edition commemorative issue.,你买的二手书里夹着一张旧的粮票，意外是限量发行的纪念款。
event_47_desc,"When you're shooting content about traditional crafts, a bamboo weaving artisan gives you a small hand-woven bamboo basket. You use it to hold small potted plants on your balcony, and all your fans want one. You collaborate with the artisan to release a co-branded bamboo basket, and donate all the proceeds to left-behind children.",你去拍老手艺的时候，竹编艺人送了你一个手工编的小竹篮，你用来装阳台的小盆栽，粉丝都想要，你和艺人合作出了联名款竹篮，卖的钱全部捐给了留守儿童。
event_48_desc,"When there's a power outage at your home, you light candles and shoot a video titled ""Power Outage Night"". A lighting brand notices it, hires you as their new product experience officer, and installs a full set of smart lighting systems on your balcony for free.",你家停电的时候，你点了蜡烛拍了一期「停电的夜晚」视频，刚好被灯具品牌看中，找你做他们的新品体验官，免费给你家阳台装了一套智能灯光系统。
event_49_desc,"You're editing videos until midnight and get hungry, so you dig out the homemade luosifen (snail rice noodle, a popular Chinese street food) a fan sent you. When you cook it, you find an extra packet of fried pork trotter inside, with a note from the fan saying she knows you love it. Your unboxing video makes the fan's small handmade luosifen shop go viral, and she sends you your favorite flavors every month after that.",你剪视频到半夜饿了，翻出之前粉丝寄的自制螺蛳粉，煮的时候发现里面多放了一包单独的炸猪脚，粉丝留的小纸条说知道你爱吃，你拍的开箱视频带火了粉丝的手工螺蛳粉小铺，她后来每月都给你寄爱吃的口味。
event_50_desc,"You forgot to check the result of the small town photography contest you entered earlier, when you suddenly got a call from the organizing committee telling you that you won the gold award. The prize money is just enough to install full-view glass windows on your balcony, so you can shoot more rainy scene footage.",你之前投稿的小城摄影作品忘了查结果，突然收到组委会的电话说你拿了金奖，奖金刚好够你给阳台装个全景玻璃窗，能拍更多雨景素材。
event_51_desc,"You spent a few dozen yuan on a hand-painted flower pot at a second-hand stall, and found a ticket to the first Peony Exhibition tucked inside. You followed the address on the ticket and found the peony garden is still there. After your video *The Peony Exhibition 40 Years Ago* went viral, the peony garden became a new popular check-in spot.",你逛旧物摊花几十块买了个手绘花盆，里面夹着首届牡丹展的参观券，你按地址找过去，发现那片牡丹园还在，你拍的「40年前的牡丹展」视频火了之后，牡丹园成了新的打卡点。
event_52_desc,"A turtledove flew into a flower pot on your balcony to build a nest and hatch eggs. You filmed its daily life every day and released a 9-episode series called *Turtledove Tenant*. Fans checked in every day to see if the baby turtledove had hatched, and the local animal protection association even sent you a special bird protection cover.",你家阳台的花盆里飞来一只斑鸠搭窝孵蛋，你每天拍它的日常，出了9期「斑鸠房客」的连载，粉丝每天都蹲点看小斑鸠有没有破壳，当地的动物保护协会还给你送了专门的护鸟罩。
event_53_desc,"The owner of the grocery store downstairs always says you have a nice voice, so she asked you to record the *Today's Specials* voice announcement for her store. In return, you can pick any one item for free from her store every month.",楼下小卖部老板娘总说你声音好听，请你帮她录店铺的「今日特价」语音告示，作为回报，你每个月可以去她店里任意挑一样东西免单。
event_54_desc,"You got a ""Buy One Get One Free"" cap when you bought a drink. With this cap, you won twelve consecutive bottles of the same soda, and finally the redemption point directly gave you a whole case.",买饮料拿到1个「再来一瓶」的瓶盖，凭这个瓶盖你连续中了十二瓶同一款汽水，最后兑奖处直接给了你一箱。
event_55_desc,"When you were cleaning the windows, you found a fully intact golden ginkgo leaf from five years ago trapped between the layers of the double-glazed glass. You took a photo to commemorate it and wrote: *A Gift from Frozen Time*.",你擦窗户时发现双层玻璃夹层里困着一片五年前的银杏叶，完整金黄，你拍照留念并写道：「时间暂停的礼物」。
event_56_desc,"You tried to paint small petals on the balcony wall with acrylic, but they came out crooked. After a light rain, the pigment ran down with the water and formed a natural gradient, which looked even better than your carefully planned painting. You kept this *Collaboration with the Rain*.",你尝试用丙烯在阳台墙面画小花瓣，画得歪歪扭扭，一场小雨后，颜料顺着水流形成天然晕染，效果比精心画的还好，你保留了这个「雨的合作」。
event_57_desc,"You were competing with a friend on the basketball machine at the arcade. You were never good at it, but you took a random shot at the last second. The ball bounced three times on the rim and went in, allowing you to win by one point and take all the dolls he had just caught.",和朋友在游戏厅比赛投篮球机，你原本最不擅长，最后一秒胡乱一抛，球在框上弹了三下居然进了，以一分优势反杀，赢走了他刚抓到的所有娃娃。
event_58_desc,"The supermarket was holding an anniversary raffle for customers who spent over 88 yuan. You took a random draw, and among a basket of consolation prize laundry detergents, you won the grand prize - a small electric scooter, which perfectly solves your transportation problem when going out to shoot footage.",超市周年庆消费满88元可抽奖，你随手一抽，在一筐安慰奖洗衣液中抽中了特等奖——一辆小电动车，正好解决你外出拍素材的交通问题。
event_59_desc,"You sent a casual complaining bullet comment while watching a brand live stream, and you were selected as the ""Lucky Viewer"" by the system. The prize is a full set of professional audio recording equipment that you have been eyeing for a long time but were reluctant to buy.",看品牌直播时随手发了一句吐槽弹幕，结果被系统抽中为“幸运观众”，奖品是你觊觎已久但舍不得买的全套专业收音设备。
event_60_desc,"Your neighbor dragged you to make up the numbers for a mahjong game. You had no idea about the rules and just played randomly the whole time, but you kept getting small wins. By the end of the game, you ended up winning the most money, and everyone joked that you were the ""God of War in New Player Protection Period"".",被邻居拉去凑角打麻将，完全不懂规则的你全程“乱打”，结果频频“屁胡”，结束时竟成了赢钱最多的人，大家笑称你是“新手保护期战神”。
event_61_desc,"You went to the back mountain to collect moss early in the morning, and accidentally stepped on a loose stone slab, revealing a handful of century-old wild flower seeds perfectly preserved under the soil. After planting them, they bloomed into light pink lily of the valley.",清晨去后山采苔藓，无意间踩开一块松动的石板，底下藏着一捧被泥土保护得完好的百年野生花种，种下后开出了浅粉铃兰。
event_62_desc,"While sorting out old items in the villa attic, you found a dusty brass flower vessel. After wiping it clean, you found the signature of the first generation florist engraved on the bottom. It turned out to be a one-of-a-kind piece made with the ""forged gold"" craft that has been lost in the town for a long time.",整理别墅阁楼的旧物时，翻到一个落满灰尘的黄铜花器，擦拭干净发现底部刻着初代花艺师的签名，竟是小镇失传已久的 “锻金” 工艺打造的孤品。
event_63_desc,"You bought handmade honey at the market in the town center, and the stall owner smilingly gave you a small jar of homemade nectar jam. After tasting it, you found it was brewed with wild honeysuckle unique to the back mountain, which can perfectly neutralize the slightly astringent aroma of your newly cultivated blue roses.",在镇中心的市集买手工蜂蜜，摊主笑着塞给你一小罐自制的花蜜酱，尝过后发现是用后山独有的野生忍冬花酿的，恰好能调和你新培育的蓝玫瑰的微涩香气。
event_64_desc,"When you were closing the windows of the greenhouse on a rainy night, you found a soaked stray kitten curled up under the windowsill. The day after you took it in, the cat led you to a hidden spring. Water from this spring can extend the flowering period of flowers by half a month when used for irrigation.",雨夜给花房关窗时，发现窗沿下蜷缩着一只淋湿的小野猫，收留它的第二天，猫咪竟引着你找到了一处隐秘的泉眼，用来浇灌花卉能让花期延长半月。
event_65_desc,"When repotting your newly cultivated rose seedlings, you casually dug up the top layer of humus soil, and found several natural ambers mixed in the soil, which are perfect to be used as exclusive accessories for your floral works.",给新培育的玫瑰幼苗换盆时，随手扒开表层腐殖土，竟发现土里混着几颗天然琥珀，恰好能做你花艺作品的专属配饰。
event_66_desc,"When you ventilated the greenhouse early in the morning, you found that last night's dew had condensed into natural flower-shaped patterns on the glass. The photo you casually took became the core design inspiration for your new series of floral works.",清晨给花房通风，发现昨夜的露水在玻璃上凝结成了天然花型纹路，你随手拍下的画面，成了新系列花艺作品的核心设计灵感。
event_67_desc,"When making hot tea in winter, you casually grabbed a handful of local dried flowers from the jar to add flavor. Halfway through drinking, you found a few strands of very rare dried edelweiss petals mixed in, which you accidentally brought back stuck to your clothes when you went into the mountain late last autumn. The brewed tea has a clear, fresh mountain aroma.",冬日煮热茶时，随手从罐子里抓了把本地的干花调味，喝到一半才发现，其中混着几缕极罕见的雪绒花干瓣，是去年深秋进山时无意间粘在衣角带回的，泡出的茶带着清冽的山野香气。
event_68_desc,"While helping Luke organize the organic fertilizer warehouse, you found a clump of forgotten wild ferns under a pile of leaf mold. The veins of the leaves perfectly match the outline of your newly conceived ""Time Corridor"" floral work, becoming the most eye-catching element of the piece.",帮卢克整理有机肥料仓库时，在一堆腐叶土下发现一丛被遗忘的野生蕨类，叶片的纹路恰好契合你新构思的 “时光回廊” 花艺作品的轮廓，成了作品里最点睛的元素。
event_69_desc,"When patrolling the flowers on the back mountain, your skirt was accidentally caught by a clump of wild roses. You pushed aside the branches and leaves and found a leeward natural cave, which has constant temperature and humidity all year round, perfectly suitable for the rare tropical orchids you have always wanted to cultivate.",在后山巡护花卉时，无意间被一丛野蔷薇勾住裙摆，拨开枝叶发现一处背风的天然岩洞，里面常年恒温恒湿，完美适配你一直想培育的热带珍稀兰花。
event_70_desc,"You went to the town's grocery store to buy gardening tools, and the owner casually gave you a box of imported flower seeds that had been sitting in stock for years. After planting them, they bloomed into retro double peonies that have long been extinct on the market, and the color is exactly the shade of pink you were missing for your competition entry.",去镇里的杂货铺买园艺工具，老板随手送了你一盒积压多年的进口花籽，种下后竟开出了市面上早已绝迹的复古重瓣芍药，花色恰好是你参赛作品缺的一抹粉色。
event_71_desc,"After the heavy rain, you went to the back mountain to check on the flowers, and accidentally found a smooth rhyolite washed by the water by the stream. The natural patterns on the stone surface are perfect to be used as the base for your floral installation.",暴雨过后去后山查看花卉，无意间在溪流边捡到一块被水冲得光滑的流纹岩，石面的天然纹路恰好能做你花艺装置的底座。
event_72_desc,"When adding firewood to the villa's fireplace, you found a section of natural burl in the firewood you picked up. You polished it and made it into a pen holder, which has a flowing golden luster on the surface.",给别墅壁炉添柴时，随手拿起的木柴里夹着一截天然树瘤，打磨后做成了笔筒，表面流淌着金色的光泽。
